"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","kingdom","phylum","class","order"
"EC:4.2.1.35","EC:4.2.1.35",1,0,1.0302799709876,0,0.273963158735646,"M85","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.35"
"EC:4.1.99.18","EC:4.1.99.18",0,0,NA,0,0.272582060620086,"M136","k__Lyases.","p__Carbon-carbon lyases.","c__Other carbon-carbon lyases.","o__EC:4.1.99.18"
"EC:1.8.1.9","EC:1.8.1.9",0,0,NA,0,0.271335486937931,"M137","k__Oxidoreductases.","p__Acting on a sulfur group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.8.1.9"
"EC:4.3.3.7","EC:4.3.3.7",0,0,NA,0,0.270964874354197,"M138","k__Lyases.","p__Carbon-nitrogen lyases.","c__Amine-lyases.","o__EC:4.3.3.7"
"EC:2.3.1.51","EC:2.3.1.51",0,0,NA,0,0.266162412715527,"M139","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.51"
"EC:1.2.1.3","EC:1.2.1.3",0,0,NA,0,0.265906924764347,"M140","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.3"
"EC:1.11.1.15","EC:1.11.1.15",0,0,NA,0,0.265865071633698,"M141","k__Oxidoreductases.","p__Acting on a peroxide as acceptor.","c__Peroxidases.","o__EC:1.11.1.15"
"EC:3.1.11.6","EC:3.1.11.6",0,0,NA,0,0.259407325485106,"M142","k__Hydrolases.","p__Acting on ester bonds.","c__Exodeoxyribonucleases producing 5'-phosphomonoesters.","o__EC:3.1.11.6"
"EC:3.2.1.21","EC:3.2.1.21",0,0,NA,0,0.258986428831256,"M143","k__Hydrolases.","p__Glycosylases.","c__Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.","o__EC:3.2.1.21"
"EC:3.5.1.4","EC:3.5.1.4",0,0,NA,0,0.255768819914807,"M144","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In linear amides.","o__EC:3.5.1.4"
"EC:3.6.1.1","EC:3.6.1.1",0,0,NA,0,0.252889275252877,"M145","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.1"
"EC:1.4.1.13","EC:1.4.1.13",3,0.5,0.354680861960748,0,0.252055767434299,"M30","k__Oxidoreductases.","p__Acting on the CH-NH2 group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.4.1.13"
"EC:1.4.1.14","EC:1.4.1.14",3,0.5,0.354680861960748,0,0.252055767434299,"M30","k__Oxidoreductases.","p__Acting on the CH-NH2 group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.4.1.14"
"EC:4.1.3.27","EC:4.1.3.27",0,0,NA,0,0.250756846614463,"M146","k__Lyases.","p__Carbon-carbon lyases.","c__Oxo-acid-lyases.","o__EC:4.1.3.27"
"EC:1.17.4.1","EC:1.17.4.1",0,0,NA,0,0.248999195878743,"M147","k__Oxidoreductases.","p__Acting on CH or CH2 groups.","c__With a disulfide as acceptor.","o__EC:1.17.4.1"
"EC:2.3.1.128","EC:2.3.1.128",0,0,NA,0,0.24694555923408,"M148","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.128"
"EC:2.5.1.47","EC:2.5.1.47",0,0,NA,0,0.246849643965823,"M149","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.47"
"EC:2.7.7.4","EC:2.7.7.4",0,0,NA,0,0.24668243946412,"M150","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.4"
"EC:3.6.1.55","EC:3.6.1.55",1,0,1.108697068342,3.86770001954505e-18,0.245251422363333,"M53","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.55"
"EC:2.6.1.42","EC:2.6.1.42",0,0,NA,0,0.23290234630147,"M151","k__Transferases.","p__Transferring nitrogenous groups.","c__Transaminases.","o__EC:2.6.1.42"
"EC:3.4.21.92","EC:3.4.21.92",0,0,NA,0,0.231094743316288,"M152","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Serine endopeptidases.","o__EC:3.4.21.92"
"EC:2.3.3.13","EC:2.3.3.13",0,0,NA,0,0.229001355417514,"M153","k__Transferases.","p__Acyltransferases.","c__Acyl groups converted into alkyl groups on transfer.","o__EC:2.3.3.13"
"EC:2.6.1.9","EC:2.6.1.9",0,0,NA,0,0.225831261497473,"M154","k__Transferases.","p__Transferring nitrogenous groups.","c__Transaminases.","o__EC:2.6.1.9"
"EC:1.1.1.95","EC:1.1.1.95",0,0,NA,0,0.225499727293512,"M155","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.95"
"EC:2.7.1.2","EC:2.7.1.2",0,0,NA,0,0.224713910855425,"M156","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Phosphotransferases with an alcohol group as acceptor.","o__EC:2.7.1.2"
"EC:1.6.99.3","EC:1.6.99.3",0,0,NA,0,0.224349022660707,"M157","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With other acceptors.","o__EC:1.6.99.3"
"EC:3.1.3.25","EC:3.1.3.25",0,0,NA,0,0.223426873209517,"M158","k__Hydrolases.","p__Acting on ester bonds.","c__Phosphoric monoester hydrolases.","o__EC:3.1.3.25"
"EC:2.5.1.18","EC:2.5.1.18",8,0,0.0034225303534008,0,0.222579737556329,"M2","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.18"
"EC:2.2.1.1","EC:2.2.1.1",0,0,NA,0,0.222349510953794,"M159","k__Transferases.","p__Transferring aldehyde or ketonic groups.","c__Transketolases and transaldolases.","o__EC:2.2.1.1"
"EC:2.3.3.1","EC:2.3.3.1",0,0,NA,0,0.221839491126566,"M160","k__Transferases.","p__Acyltransferases.","c__Acyl groups converted into alkyl groups on transfer.","o__EC:2.3.3.1"
"EC:4.3.1.19","EC:4.3.1.19",0,0,NA,0,0.220918263996909,"M161","k__Lyases.","p__Carbon-nitrogen lyases.","c__Ammonia-lyases.","o__EC:4.3.1.19"
"EC:3.4.11.18","EC:3.4.11.18",0,0,NA,0,0.218904321406701,"M162","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Aminopeptidases.","o__EC:3.4.11.18"
"EC:3.2.2.21","EC:3.2.2.21",0,0,NA,0,0.218388792203172,"M163","k__Hydrolases.","p__Glycosylases.","c__Hydrolyzing N-glycosyl compounds.","o__EC:3.2.2.21"
"EC:1.1.1.157","EC:1.1.1.157",0,0,NA,0,0.217318049921971,"M164","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.157"
"EC:1.2.7.3","EC:1.2.7.3",1,0,1.05239517410043,0,0.217013906307411,"M75","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With an iron-sulfur protein as acceptor.","o__EC:1.2.7.3"
"EC:3.5.1.88","EC:3.5.1.88",0,0,NA,0,0.216939411743394,"M165","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In linear amides.","o__EC:3.5.1.88"
"EC:2.7.8.5","EC:2.7.8.5",0,0,NA,0,0.215048772176791,"M166","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Transferases for other substituted phosphate groups.","o__EC:2.7.8.5"
"EC:3.1.3.16","EC:3.1.3.16",0,0,NA,0,0.213785806054709,"M167","k__Hydrolases.","p__Acting on ester bonds.","c__Phosphoric monoester hydrolases.","o__EC:3.1.3.16"
"EC:1.2.1.16","EC:1.2.1.16",4,0,0.0072120480216399,0,0.212583543879276,"M4","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.16"
"EC:1.2.1.20","EC:1.2.1.20",4,0,0.0072141144764667,0,0.212234766730011,"M4","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.20"
"EC:1.2.1.79","EC:1.2.1.79",4,0,0.0072141144764667,0,0.212234766730011,"M4","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.79"
"EC:3.4.21.89","EC:3.4.21.89",0,0,NA,0,0.210830276237598,"M168","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Serine endopeptidases.","o__EC:3.4.21.89"
"EC:3.5.2.14","EC:3.5.2.14",0,0,NA,0,0.210172692659753,"M169","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In cyclic amides.","o__EC:3.5.2.14"
"EC:1.6.1.2","EC:1.6.1.2",0,0,NA,0,0.209790601990598,"M170","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.6.1.2"
"EC:1.6.5.5","EC:1.6.5.5",0,0,NA,0,0.209685223323943,"M171","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With a quinone or similar compound as acceptor.","o__EC:1.6.5.5"
"EC:1.4.4.2","EC:1.4.4.2",0,0,NA,0,0.206810255835423,"M172","k__Oxidoreductases.","p__Acting on the CH-NH2 group of donors.","c__With a disulfide as acceptor.","o__EC:1.4.4.2"
"EC:4.2.3.1","EC:4.2.3.1",0,0,NA,0,0.206771625529344,"M173","k__Lyases.","p__Carbon-oxygen lyases.","c__Acting on phosphates.","o__EC:4.2.3.1"
"EC:4.2.1.2","EC:4.2.1.2",0,0,NA,0,0.20550388681387,"M174","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.2"
"EC:2.3.1.179","EC:2.3.1.179",0,0,NA,0,0.202722474400933,"M175","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.179"
"EC:1.2.7.11","EC:1.2.7.11",1,0,1.05239517410043,0,0.20149187541889,"M75","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With an iron-sulfur protein as acceptor.","o__EC:1.2.7.11"
"EC:3.5.1.28","EC:3.5.1.28",0,0,NA,0,0.197706655696464,"M176","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In linear amides.","o__EC:3.5.1.28"
"EC:4.2.1.9","EC:4.2.1.9",0,0,NA,0,0.196243907999495,"M177","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.9"
"EC:2.3.1.15","EC:2.3.1.15",0,0,NA,0,0.19481974546957,"M178","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.15"
"EC:1.1.1.205","EC:1.1.1.205",5,384,0.00795656504698102,0,0.194778449490686,"M4","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.205"
"EC:3.4.19.13","EC:3.4.19.13",1,0,1,0,0.193754101765882,"M47","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Omega peptidases.","o__EC:3.4.19.13"
"EC:2.3.2.2","EC:2.3.2.2",1,0,1,0,0.193753927979045,"M47","k__Transferases.","p__Acyltransferases.","c__Aminoacyltransferases.","o__EC:2.3.2.2"
"EC:3.2.2.23","EC:3.2.2.23",1,0,0.0990998650242742,1.93385000977253e-18,0.19348943326696,"M18","k__Hydrolases.","p__Glycosylases.","c__Hydrolyzing N-glycosyl compounds.","o__EC:3.2.2.23"
"EC:1.15.1.1","EC:1.15.1.1",0,0,NA,0,0.192851685918076,"M179","k__Oxidoreductases.","p__Acting on superoxide as acceptor.","c__Acting on superoxide as acceptor.","o__EC:1.15.1.1"
"EC:3.5.2.3","EC:3.5.2.3",0,0,NA,0,0.192839272370206,"M180","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In cyclic amides.","o__EC:3.5.2.3"
"EC:2.4.2.9","EC:2.4.2.9",0,0,NA,0,0.192108557819244,"M181","k__Transferases.","p__Glycosyltransferases.","c__Pentosyltransferases.","o__EC:2.4.2.9"
"EC:2.6.1.16","EC:2.6.1.16",0,0,NA,0,0.192014771173133,"M182","k__Transferases.","p__Transferring nitrogenous groups.","c__Transaminases.","o__EC:2.6.1.16"
"EC:2.5.1.15","EC:2.5.1.15",0,0,NA,0,0.189952693093422,"M183","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.15"
"EC:2.1.1.107","EC:2.1.1.107",0,0,NA,0,0.18994689283141,"M184","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.107"
"EC:2.5.1.54","EC:2.5.1.54",0,0,NA,0,0.18664094378919,"M185","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.54"
"EC:2.3.1.12","EC:2.3.1.12",0,0,NA,0,0.184393342942109,"M186","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.12"
"EC:2.1.1.297","EC:2.1.1.297",0,0,NA,0,0.183853883457151,"M187","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.297"
"EC:5.4.2.8","EC:5.4.2.8",0,0,NA,0,0.183565084803978,"M188","k__Isomerases.","p__Intramolecular transferases.","c__Phosphotransferases (phosphomutases).","o__EC:5.4.2.8"
"EC:3.6.1.66","EC:3.6.1.66",2,0,0.135858538853114,0,0.181429107238825,"M18","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.66"
"EC:2.1.1.63","EC:2.1.1.63",0,0,NA,0,0.181187978264916,"M189","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.63"
"EC:4.2.1.46","EC:4.2.1.46",0,0,NA,0,0.180872364649383,"M190","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.46"
"EC:4.3.3.6","EC:4.3.3.6",19,101,0.00513318258773477,0,0.18080122278975,"M2","k__Lyases.","p__Carbon-nitrogen lyases.","c__Amine-lyases.","o__EC:4.3.3.6"
"EC:2.3.1.180","EC:2.3.1.180",0,0,NA,0,0.178123304901573,"M191","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.180"
"EC:3.5.4.25","EC:3.5.4.25",0,0,NA,0,0.177102414904565,"M192","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In cyclic amidines.","o__EC:3.5.4.25"
"EC:2.10.1.1","EC:2.10.1.1",0,0,NA,0,0.176521722646426,"M193","k__Transferases.","p__Transferring molybdenum- or tungsten-containing groups.","c__Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors.","o__EC:2.10.1.1"
"EC:2.5.1.17","EC:2.5.1.17",0,0,NA,0,0.176342707094376,"M194","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.17"
"EC:3.6.1.11","EC:3.6.1.11",1,0,1,0,0.176024684592917,"M101","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.11"
"EC:3.6.1.40","EC:3.6.1.40",1,0,1,0,0.176024684592917,"M101","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.40"
"EC:3.2.1.52","EC:3.2.1.52",0,0,NA,0,0.175997618342075,"M195","k__Hydrolases.","p__Glycosylases.","c__Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.","o__EC:3.2.1.52"
"EC:3.6.3.21","EC:3.6.3.21",1,0,1.11087045516264,1.93385000977253e-18,0.175119325415318,"M45","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.21"
"EC:5.3.1.9","EC:5.3.1.9",0,0,NA,0,0.174830354614621,"M196","k__Isomerases.","p__Intramolecular oxidoreductases.","c__Interconverting aldoses and ketoses.","o__EC:5.3.1.9"
"EC:1.3.99.22","EC:1.3.99.22",0,0,NA,0,0.1741907963506,"M197","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With other acceptors.","o__EC:1.3.99.22"
"EC:4.2.1.75","EC:4.2.1.75",1,0,1.10584198652757,0,0.174129608266474,"M57","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.75"
"EC:1.1.1.25","EC:1.1.1.25",0,0,NA,0,0.171436331685031,"M198","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.25"
"EC:1.1.1.31","EC:1.1.1.31",0,0,NA,0,0.169864709132174,"M199","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.31"
"EC:5.4.3.8","EC:5.4.3.8",0,0,NA,0,0.169855476463701,"M200","k__Isomerases.","p__Intramolecular transferases.","c__Transferring amino groups.","o__EC:5.4.3.8"
"EC:2.3.1.1","EC:2.3.1.1",0,0,NA,0,0.169560454752672,"M201","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.1"
"EC:1.1.5.3","EC:1.1.5.3",0,0,NA,0,0.169491726260063,"M202","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With a quinone or similar compound as acceptor.","o__EC:1.1.5.3"
"EC:3.1.3.48","EC:3.1.3.48",1,0,1.108697068342,3.86770001954505e-18,0.169099151522452,"M53","k__Hydrolases.","p__Acting on ester bonds.","c__Phosphoric monoester hydrolases.","o__EC:3.1.3.48"
"EC:1.2.1.2","EC:1.2.1.2",0,0,NA,0,0.169063427542002,"M203","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.2"
"EC:1.3.1.9","EC:1.3.1.9",0,0,NA,0,0.168248520269062,"M204","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.3.1.9"
"EC:5.4.99.23","EC:5.4.99.23",0,0,NA,0,0.167410164866568,"M205","k__Isomerases.","p__Intramolecular transferases.","c__Transferring other groups.","o__EC:5.4.99.23"
"EC:2.8.1.1","EC:2.8.1.1",1,0,1.00171092795711,0,0.166999420623344,"M92","k__Transferases.","p__Transferring sulfur-containing groups.","c__Sulfurtransferases.","o__EC:2.8.1.1"
"EC:3.1.11.2","EC:3.1.11.2",0,0,NA,0,0.166729509076882,"M206","k__Hydrolases.","p__Acting on ester bonds.","c__Exodeoxyribonucleases producing 5'-phosphomonoesters.","o__EC:3.1.11.2"
"EC:4.2.1.1","EC:4.2.1.1",0,0,NA,0,0.166554345513537,"M207","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.1"
"EC:2.8.1.2","EC:2.8.1.2",1,0,1.00171092795711,0,0.166154384342926,"M92","k__Transferases.","p__Transferring sulfur-containing groups.","c__Sulfurtransferases.","o__EC:2.8.1.2"
"EC:4.1.2.13","EC:4.1.2.13",0,0,NA,0,0.165484833579923,"M208","k__Lyases.","p__Carbon-carbon lyases.","c__Aldehyde-lyases.","o__EC:4.1.2.13"
"EC:3.4.11.1","EC:3.4.11.1",0,0,NA,0,0.164657956263924,"M209","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Aminopeptidases.","o__EC:3.4.11.1"
"EC:2.7.2.4","EC:2.7.2.4",0,0,NA,0,0.163823014442013,"M210","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Phosphotransferases with a carboxy group as acceptor.","o__EC:2.7.2.4"
