"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","kingdom","phylum","class","order"
"EC:3.4.11.18","EC:3.4.11.18",21,19825,0.000313370801986712,1.23769674776779e-16,0.218904321406701,"M1","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Aminopeptidases.","o__EC:3.4.11.18"
"EC:3.2.2.21","EC:3.2.2.21",1,0,1.21982579199736,1.06364564261294e-17,0.218388792203172,"M40","k__Hydrolases.","p__Glycosylases.","c__Hydrolyzing N-glycosyl compounds.","o__EC:3.2.2.21"
"EC:1.1.1.157","EC:1.1.1.157",22,1977,0.000315034427106657,3.09424186941947e-17,0.217318049921971,"M2","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.157"
"EC:1.2.7.3","EC:1.2.7.3",2,0,0.000252875200190376,7.73560467354869e-18,0.217013906307411,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With an iron-sulfur protein as acceptor.","o__EC:1.2.7.3"
"EC:3.5.1.88","EC:3.5.1.88",5,906,0.000261332526712887,3.09424186941947e-17,0.216939411743394,"M1","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In linear amides.","o__EC:3.5.1.88"
"EC:2.7.8.5","EC:2.7.8.5",0,0,NA,9.66950584193586e-18,0.215048772176791,"M385","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Transferases for other substituted phosphate groups.","o__EC:2.7.8.5"
"EC:3.1.3.16","EC:3.1.3.16",4,897,0.000243062712612393,3.09424186941947e-17,0.213785806054709,"M1","k__Hydrolases.","p__Acting on ester bonds.","c__Phosphoric monoester hydrolases.","o__EC:3.1.3.16"
"EC:1.2.1.16","EC:1.2.1.16",52,507,0.00029355524328121,2.47539349553558e-16,0.212583543879276,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.16"
"EC:1.2.1.20","EC:1.2.1.20",53,1276,0.000293864456670435,2.47539349553558e-16,0.212234766730011,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.20"
"EC:1.2.1.79","EC:1.2.1.79",53,1276,0.000293864456670435,3.71309024330337e-16,0.212234766730011,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.79"
"EC:3.4.21.89","EC:3.4.21.89",2,0,0.00020610395364101,1.1603407010323e-17,0.210830276237598,"M1","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Serine endopeptidases.","o__EC:3.4.21.89"
"EC:3.5.2.14","EC:3.5.2.14",5,367,0.000278375743708477,3.09424186941947e-17,0.210172692659753,"M1","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In cyclic amides.","o__EC:3.5.2.14"
"EC:1.6.1.2","EC:1.6.1.2",0,0,NA,9.66950584193586e-18,0.209790601990598,"M386","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.6.1.2"
"EC:1.6.5.5","EC:1.6.5.5",10,6739,0.000251883026743321,6.18848373883895e-17,0.209685223323943,"M1","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With a quinone or similar compound as acceptor.","o__EC:1.6.5.5"
"EC:1.4.4.2","EC:1.4.4.2",0,0,NA,9.66950584193586e-18,0.206810255835423,"M387","k__Oxidoreductases.","p__Acting on the CH-NH2 group of donors.","c__With a disulfide as acceptor.","o__EC:1.4.4.2"
"EC:4.2.3.1","EC:4.2.3.1",0,0,NA,9.66950584193586e-18,0.206771625529344,"M388","k__Lyases.","p__Carbon-oxygen lyases.","c__Acting on phosphates.","o__EC:4.2.3.1"
"EC:4.2.1.2","EC:4.2.1.2",0,0,NA,9.66950584193586e-18,0.20550388681387,"M389","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.2"
"EC:2.3.1.179","EC:2.3.1.179",0,0,NA,9.66950584193586e-18,0.202722474400933,"M390","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.179"
"EC:1.2.7.11","EC:1.2.7.11",4,0,0.000284586275250031,1.93390116838717e-17,0.20149187541889,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With an iron-sulfur protein as acceptor.","o__EC:1.2.7.11"
"EC:3.5.1.28","EC:3.5.1.28",41,2335,0.000251278765579985,1.85654512165168e-16,0.197706655696464,"M3","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In linear amides.","o__EC:3.5.1.28"
"EC:4.2.1.9","EC:4.2.1.9",10,1791,0.000205825330261177,7.73560467354869e-17,0.196243907999495,"M2","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.9"
"EC:2.3.1.15","EC:2.3.1.15",3,1886,0.000230855971339572,1.93390116838717e-17,0.19481974546957,"M1","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.15"
"EC:1.1.1.205","EC:1.1.1.205",30,1739,0.000278838702365514,1.85654512165168e-16,0.194778449490686,"M1","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.205"
"EC:3.4.19.13","EC:3.4.19.13",1,0,1,7.73560467354869e-18,0.193754101765882,"M62","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Omega peptidases.","o__EC:3.4.19.13"
"EC:2.3.2.2","EC:2.3.2.2",1,0,1,5.80170350516151e-18,0.193753927979045,"M62","k__Transferases.","p__Acyltransferases.","c__Aminoacyltransferases.","o__EC:2.3.2.2"
"EC:3.2.2.23","EC:3.2.2.23",23,65,0.000273100701206444,0,0.19348943326696,"M1","k__Hydrolases.","p__Glycosylases.","c__Hydrolyzing N-glycosyl compounds.","o__EC:3.2.2.23"
"EC:1.15.1.1","EC:1.15.1.1",4,257,0.000257218622292239,3.09424186941947e-17,0.192851685918076,"M1","k__Oxidoreductases.","p__Acting on superoxide as acceptor.","c__Acting on superoxide as acceptor.","o__EC:1.15.1.1"
"EC:3.5.2.3","EC:3.5.2.3",20,1359,0.00028230330235238,1.23769674776779e-16,0.192839272370206,"M2","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In cyclic amides.","o__EC:3.5.2.3"
"EC:2.4.2.9","EC:2.4.2.9",5,8888,0.000314597228022233,3.09424186941947e-17,0.192108557819244,"M1","k__Transferases.","p__Glycosyltransferases.","c__Pentosyltransferases.","o__EC:2.4.2.9"
"EC:2.6.1.16","EC:2.6.1.16",0,0,NA,9.66950584193586e-18,0.192014771173133,"M391","k__Transferases.","p__Transferring nitrogenous groups.","c__Transaminases.","o__EC:2.6.1.16"
"EC:2.5.1.15","EC:2.5.1.15",12,3685,0.000293943720311678,7.73560467354869e-17,0.189952693093422,"M1","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.15"
"EC:2.1.1.107","EC:2.1.1.107",5,0,0.000237028492318204,2.32068140206461e-17,0.18994689283141,"M1","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.107"
"EC:2.5.1.54","EC:2.5.1.54",0,0,NA,9.66950584193586e-18,0.18664094378919,"M392","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.54"
"EC:2.3.1.12","EC:2.3.1.12",1,0,0.000242006605212153,8.70255525774227e-18,0.184393342942109,"M1","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.12"
"EC:2.1.1.297","EC:2.1.1.297",9,4769,0.000284475734016002,6.18848373883895e-17,0.183853883457151,"M1","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.297"
"EC:5.4.2.8","EC:5.4.2.8",1,0,0.000168949211024543,7.73560467354869e-18,0.183565084803978,"M1","k__Isomerases.","p__Intramolecular transferases.","c__Phosphotransferases (phosphomutases).","o__EC:5.4.2.8"
"EC:3.6.1.66","EC:3.6.1.66",18,1439,0.00028207697863443,1.23769674776779e-16,0.181429107238825,"M1","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.66"
"EC:2.1.1.63","EC:2.1.1.63",1,0,1.16867258660078,6.7686540893551e-18,0.181187978264916,"M43","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.63"
"EC:4.2.1.46","EC:4.2.1.46",7,98,0.000276340529327945,3.86780233677434e-17,0.180872364649383,"M1","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.46"
"EC:4.3.3.6","EC:4.3.3.6",58,334,0.000335919044607855,3.09424186941947e-16,0.18080122278975,"M2","k__Lyases.","p__Carbon-nitrogen lyases.","c__Amine-lyases.","o__EC:4.3.3.6"
"EC:2.3.1.180","EC:2.3.1.180",5,327,0.000231823068459771,3.09424186941947e-17,0.178123304901573,"M1","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.180"
"EC:3.5.4.25","EC:3.5.4.25",0,0,NA,9.66950584193586e-18,0.177102414904565,"M393","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In cyclic amidines.","o__EC:3.5.4.25"
"EC:2.10.1.1","EC:2.10.1.1",4,43,0.000235242775340537,1.54712093470974e-17,0.176521722646426,"M1","k__Transferases.","p__Transferring molybdenum- or tungsten-containing groups.","c__Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors.","o__EC:2.10.1.1"
"EC:2.5.1.17","EC:2.5.1.17",0,0,NA,9.66950584193586e-18,0.176342707094376,"M394","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.17"
"EC:3.6.1.11","EC:3.6.1.11",3,471.5,0.000179817830431615,2.70746163574204e-17,0.176024684592917,"M15","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.11"
"EC:3.6.1.40","EC:3.6.1.40",3,471.5,0.000179817830431615,3.48102210309691e-17,0.176024684592917,"M15","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.40"
"EC:3.2.1.52","EC:3.2.1.52",0,0,NA,9.66950584193586e-18,0.175997618342075,"M395","k__Hydrolases.","p__Glycosylases.","c__Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.","o__EC:3.2.1.52"
"EC:3.6.3.21","EC:3.6.3.21",4,101,0.000227454950070873,3.48102210309691e-17,0.175119325415318,"M1","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.21"
"EC:5.3.1.9","EC:5.3.1.9",7,90,0.000278646063349145,4.64136280412921e-17,0.174830354614621,"M1","k__Isomerases.","p__Intramolecular oxidoreductases.","c__Interconverting aldoses and ketoses.","o__EC:5.3.1.9"
"EC:1.3.99.22","EC:1.3.99.22",7,1537,0.000277472451059923,6.96204420619382e-17,0.1741907963506,"M1","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With other acceptors.","o__EC:1.3.99.22"
"EC:4.2.1.75","EC:4.2.1.75",15,5394,0.000299629026265308,6.18848373883895e-17,0.174129608266474,"M1","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.75"
"EC:1.1.1.25","EC:1.1.1.25",20,3924,0.0002742895520699,9.28272560825842e-17,0.171436331685031,"M1","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.25"
"EC:1.1.1.31","EC:1.1.1.31",2,1087,0.00022540325076553,1.1603407010323e-17,0.169864709132174,"M2","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.31"
