SampleID	Index	Remove.SH	Remove.SHMI	PLFA_ID	Cornell_ID	State	Site	Cluster	Trt	Field_ID	Collection_Date	Plant_Stage	Latitude	Longitude	Upper_depth	Lower_depth	Current_Land_Use	Cover_Type	Cover_Crop	Crop_Rotation	System_Years	Notes	Start_Date	Cover_0_Planting	Cover_0_Harvest	Crop_1_Planting	Crop_1_Harvest	Cover_1_Planting	Cover_1_Harvest	Crop_2_Planting	Crop_2_Harvest	Cover_2_Planting	Cover_2_Harvest	Crop_3_Planting	Crop_3_Harvest	Cover_3_Planting	Cover_3_Harvest	Stop_Date	Cover_Roots	Crop_Roots	All_Roots	Current_Crop	Previous_Crop	Tillage_Type	Depth	Tillage_Start	Planter Type	Planter_Start	Removal_Type	Residue_Retained	Fertilizer_Type	N_Annual_Rate	P_Annual_Rate	K_Annual_Rate	Fertilizer_Applications_per_Year	Irrigation_Type	Annual_Rate	Irrigation_Applications_per_Year	Grazing_Type	Stocking_Rate	Animal_Type	Rest_Period	Yield_Type	Yield	Units	C Saturation Deficit	texture_class	sand	silt	clay	water_cap	water_capacity_rating	agg_stab	aggregate_stability_rating	SOM	organic_matter_rating	ace	ace_soil_protein_index_rating	resp	respiration_rating	activeC	active_carbon_rating	ph	ph_rating	p	p_rating	k	k_rating	mg	fe	mn	zn	minor_elements_rating	Overall	beta_glucosidase	PLFA	DNA	qPCR	root	rich	dist	ClimateZ
NRCS24	24	No	No	SHI-0024	PP103	MN	MN1	MN1_6	6	J Johnson Plot 09	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	49	49.41	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Double-disc opener/planter		None	100						None			None				grain	2934	kg/ha	26.66	loam	29.15	46.6	24.25	0.29	97.48	20.38	27.76	5.14	99.12	3.3	16.6	0.58	47.94	737	89.99	8.06	0	14.28	100	125.67	100	1872.83	0.4	11.8	0.42	100	67.89	124	124893.33	12841.8	2.79E+09	49	1.33	3	Dfb
NRCS25	25	No	No	SHI-0025	PP104	MN	MN1	MN1_3	3	J Johnson Plot 10	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	cover crop	"Vetch, Hairy | Vetch, Hairy | Vetch, Hairy"	Corn | Cover | Wheat	3		5/20/2013			5/20/2013	10/15/2013					7/22/2014	3/15/2015	4/16/2015	9/1/2015	8/13/2015	5/1/2016	5/19/2016	45	26	71.6	Wheat	Cover	No Till/ Direct Seed		2000	Double-disc opener/planter		full	25						None			None				grain	3392	kg/ha	26.14	loam	32.15	42.72	25.13	0.28	97.2	29.04	45.67	4.95	98.49	3.33	16.83	0.65	56.4	753.69	91.49	8.28	0	12.85	100	120.04	100	2097.11	0.53	15.3	0.44	100	70.61	152	144349.94	15183	3.42E+09	72	1.67	3	Dfb
NRCS26	26	No	No	SHI-0026	PP105	MN	MN1	MN1_8	8	J Johnson Plot 11	5/19/2016	in-season	45.685	-95.804	0	15	cropland.perennial	perennial	None	Big Bluestem	1		5/20/2015							5/20/2015	5/19/2016							5/19/2016	0	100	100	Big Bluestem	Big Bluestem	No Till/ Direct Seed		2000										None			None				above ground	6314	kg/ha	25.15	loam	35.31	42.34	22.35	0.25	92.48	37.02	63.09	5.52	99.74	4.41	26.31	0.84	78.8	757.4	91.79	8.11	0	12.58	100	142.1	100	1870.8	0.57	15.49	0.63	100	75.22	133	153867.04	19035.6	4.02E+09	100	1	3	Dfb
NRCS27	27	No	No	SHI-0027	PP106	MN	MN1	MN1_4	4	J Johnson Plot 12	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	cover crop	"Rye, Winter | Rye, Winter | Rye, Winter"	"Wheat | Cover | Soybean, Forage"	3		5/20/2013			5/20/2013	9/1/2013					7/23/2014	4/1/2015	4/29/2015	10/1/2015	8/13/2015	5/1/2016	5/19/2016	47	24	70.59	"Soybean, Forage"	Cover	No Till/ Direct Seed		2000	Planter		full	25						None			None				grain	3491	kg/ha	25.45	loam	34.59	41.98	23.44	0.27	94.69	15.22	19.03	5.26	99.4	3.57	18.75	0.62	52.18	800.04	94.76	7.88	0	19.41	100	118.46	100	2266.44	0.46	20.76	0.3	100	67.88	142	143385.1	14867.9	3.68E+09	71	1.67	3	Dfb
NRCS28	28	No	No	SHI-0028	PP107	MN	MN1	MN1_7	7	J Johnson Plot 13	5/19/2016	post-harvest	45.685	-95.803	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	49	49.41	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Double-disc opener/planter		None	100						None			None				grain	4146	kg/ha	27.34	silt loam	23.97	50.84	25.2	0.27	95.08	26.5	40.13	5.84	99.92	4.5	27.2	0.64	55.93	835.27	96.5	7.86	0	21.42	100	184.76	100	1508.54	0.41	7.71	0.41	100	71.48	144	149444.54	14504.7	3.90E+09	49	1.33	3	Dfb
NRCS29	29	No	No	SHI-0029	PP108	MN	MN1	MN1_8	8	J Johnson Plot 14	5/19/2016	in-season	45.685	-95.803	0	15	cropland.perennial	perennial	None	Big Bluestem	1		5/20/2015							5/20/2015	5/19/2016							5/19/2016	0	100	100	Big Bluestem	Big Bluestem	No Till/ Direct Seed		2000										None			None				above ground	8035	kg/ha	27.67	silt loam	22.54	50.69	26.78	0.26	93.45	47.14	81.51	5.8	99.91	4.16	23.87	0.83	77.4	729.58	89.27	8.01	0	12.25	100	167.5	100	2043.64	0.46	9.75	0.38	100	76.54	168	165889.07	29072.7	8.13E+09	100	1	3	Dfb
NRCS30	30	No	No	SHI-0030	PP109	MN	MN1	MN1_3	3	J Johnson Plot 15	5/19/2016	post-harvest	45.685	-95.803	0	15	cropland.annual	cover crop	"Vetch, Hairy | Vetch, Hairy | Vetch, Hairy"	Corn | Cover | Wheat	3		5/20/2013			5/20/2013	10/15/2013					7/22/2014	3/15/2015	4/16/2015	9/1/2015	8/13/2015	5/1/2016	5/19/2016	45	26	71.6	Wheat	Cover	No Till/ Direct Seed		2000	Double-disc opener/planter		full	25						None			None				grain	4078	kg/ha	27.8	silt loam	21.93	52.95	25.12	0.28	96.6	38.69	66.55	5.78	99.9	3.65	19.42	0.71	64.58	731.44	89.45	8.24	0	13	100	139.53	100	2724.07	0.41	11.12	0.32	100	73.65	164	149236.3	27691.7	6.18E+09	72	1.67	3	Dfb
NRCS31	31	No	No	SHI-0031	PP110	MN	MN1	MN1_11	11	J Johnson Plot 16	5/19/2016	post-harvest	45.685	-95.803	0	15	cropland.annual	None	None | None | None	Alfalfa | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	7/1/2014			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	74	74.34	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Planter		None	100						None			None				grain	2647	kg/ha	27.34	silt loam	23.03	52.08	24.89	0.26	92.82	32.11	52.47	6.17	99.98	3.65	19.37	0.73	66.75	788.92	94.08	8.11	0	18.22	100	142.7	100	2659.57	0.35	12.74	0.43	100	72.55	193	177089.1	13694.8	2.97E+09	74	1.33	3	Dfb
NRCS32	32	No	No	SHI-0032	PP111	MN	MN1	MN1_4	4	J Johnson Plot 17	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	cover crop	"Rye, Winter | Rye, Winter | Rye, Winter"	"Wheat | Cover | Soybean, Forage"	3		5/20/2013			5/20/2013	9/1/2013					7/23/2014	4/1/2015	4/29/2015	10/1/2015	8/13/2015	5/1/2016	5/19/2016	47	24	70.59	"Soybean, Forage"	Cover	No Till/ Direct Seed		2000	Planter		full	25						None			None				grain	2463	kg/ha	27.7	silt loam	21.13	52.33	26.54	0.27	94.98	20.71	28.38	6.25	99.98	3.52	18.3	0.68	60.09	857.52	97.34	7.91	0	16.44	100	132.06	100	2456.89	0.35	16.9	0.35	100	69.91	161	155821.88	19801.4	4.03E+09	71	1.67	3	Dfb
NRCS33	33	No	No	SHI-0033	PP112	MN	MN1	MN1_6	6	J Johnson Plot 18	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	49	49.41	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Double-disc opener/planter		None	100						None			None				grain	2562	kg/ha	27.72	silt loam	21.28	52.27	26.45	0.26	94.19	17.32	22.36	6.15	99.98	3.4	17.39	0.68	60	861.23	97.46	8.2	0	11.86	100	114.36	100	2448.42	0.27	22.44	0.28	100	69.14	123	146945.34	25495.6	5.30E+09	49	1.33	3	Dfb
NRCS34	34	No	No	SHI-0034	PP113	MN	MN1	MN1_10	10	J Johnson Plot 19	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Sorghum-Sudan | Sorghum-Sudan | Sorghum-Sudan	3		5/20/2013			5/20/2013	10/1/2013			6/1/2014	10/1/2014			6/1/2015	10/1/2015			5/19/2016	0	35	34.52	Sorghum-Sudan	Sorghum-Sudan	No Till/ Direct Seed		2000	Planter									None			None				above ground	10386	kg/ha	27.65	silt loam	21.91	51.12	26.97	0.27	95.72	27.3	41.86	6.04	99.96	3.82	20.84	0.75	69.62	896.46	98.39	8.14	0	12.62	100	122.08	100	2875.84	0.61	32.72	0.31	100	72.64	143	160779.43	23156.8	5.70E+09	35	1	3	Dfb
NRCS35	35	No	No	SHI-0035	PP114	MN	MN1	MN1_2	2	J Johnson Plot 20	5/19/2016	in-season	45.685	-95.804	0	15	cropland.perennial	perennial	None	"Switchgrass, Summer"	1		5/20/2015							5/20/2015	5/19/2016							5/19/2016	0	100	100	"Switchgrass, Summer"	"Switchgrass, Summer"	No Till/ Direct Seed		2000										None			None				above ground	9700	kg/ha	27.82	clay loam	21.27	50.17	28.57	0.29	97.95	29.73	39.07	5.99	98.64	4.16	28.12	0.88	82.31	844.54	91.11	8.25	0	14.26	100	144.35	100	2209.43	0.4	20.77	0.55	100	73.72	143	168377.29	30525.4	5.16E+09	100	1	3	Dfb
NRCS36	36	No	No	SHI-0036	PP115	MN	MN1	MN1_1	1	J Johnson Plot 21	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	49	49.41	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Double-disc opener/planter		None	100						None			None				grain	2684	kg/ha	28.15	silty clay loam	18.77	52.7	28.54	0.33	99.53	21.2	23.38	6.33	99.51	4.05	26.88	0.77	71.25	890.9	94.29	8.2	0	27.55	38.38	153.74	100	2654.82	0.43	23.33	0.45	100	65.32	140	168889.96	19218.9	4.14E+09	49	1.33	3	Dfb
NRCS37	37	No	No	SHI-0037	PP116	MN	MN1	MN1_9	9	J Johnson Plot 22	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	cover crop	"Vetch, Hairy | Vetch, Hairy | Vetch, Hairy"	"Soybean, Forage | Cover | Corn"	3		5/20/2013			5/20/2013	10/1/2013					7/22/2014	4/14/2015	5/1/2015	10/1/2015	8/13/2015	5/1/2016	5/19/2016	48	26	74.43	Corn	Cover	No Till/ Direct Seed		2000	Double-disc opener/planter		full	25	Synthetic	150	0	0	1	None			None				grain	7314	kg/ha	27.61	silt loam	22.45	50.92	26.64	0.3	98.53	13.53	16.59	5.93	99.94	3.6	18.95	0.72	65.36	881.63	98.04	8.18	0	26.2	41.36	125.45	100	3099.13	0.55	38.8	0.47	100	63.88	154	151161.68	26639.2	5.96E+09	74	1.67	3	Dfb
NRCS38	38	No	No	SHI-0038	PP117	MN	MN1	MN1_5	5	J Johnson Plot 23	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Alfalfa	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/15/2015	12/31/2015			5/19/2016	0	59	59	Alfalfa	Radish + Wheat + Oats	No Till/ Direct Seed		2000			None	100	Synthetic	30	60	66	1	None			None				above ground	3201	kg/ha	27.03	clay loam	25.42	47.28	27.29	0.29	97.96	22.02	24.72	5.84	97.95	3.77	23.9	0.81	75.88	851.96	91.69	8.21	0	46.66	9.78	128.72	100	3018.83	0.68	53.88	0.55	56	57.79	164	163907.51	19831.5	4.39E+09	59	1.33	3	Dfb
