SampleID	sample_simple	PLFA_ID	Remove.SH	Remove.SHMI	Index	Cornell_ID	State	Site	Cluster	Trt	Field_ID	Collection_Date	Plant_Stage	Latitude	Longitude	Upper	Lower	Current_Land_Use	Cover_Type	Cover_Crop	Crop_Rotation	System_Years	Notes	Start_Date	Cover_0_Planting	Cover_0_Harvest	Crop_1_Planting	Crop_1_Harvest	Cover_1_Planting	Cover_1_Harvest	Crop_2_Planting	Crop_2_Harvest	Cover_2_Planting	Cover_2_Harvest	Crop_3_Planting	Crop_3_Harvest	Cover_3_Planting	Cover_3_Harvest	Stop_Date	Cover_Roots	Crop_Roots	All_Roots	Current_Crop	Previous_Crop	Tillage_Type	Depth	Tillage_Start	Planter Type	Planter_Start	Removal_Type	Residue_Retained	Fertilizer_Type	N_Annual_Rate	P_Annual_Rate	K_Annual_Rate	Fertilizer_Applications_per_Year	Irrigation_Type	Annual_Rate	Irrigation_Applications_per_Year	Grazing_Type	Stocking_Rate	Animal_Type	Rest_Period	Yield_Type	Yield	Units	C Saturation Deficit	texture_class	sand	silt	clay	water_cap	water_capacity_rating	agg_stab	aggregate_stability_rating	SOM	organic_matter_rating	ace	ace_soil_protein_index_rating	resp	respiration_rating	activeC	active_carbon_rating	ph	ph_rating	p	p_rating	k	k_rating	mg	fe	mn	zn	minor_elements_rating	Overall	beta_glucosidase	PLFA	DNA	qPCR	root	rich	dist	ClimateZ	acidity	BSk	Cfa	Csa	Csb	Dfa	Dfb	Dfc	SH	SH_rating	SH_bin	SOM.pred	SOM.corr	SOM.resid	activeC.pred	activeC.corr	activeC.resid	resp.pred	resp.corr	resp.resid	qPCR.pred	qPCR.corr	qPCR.resid	agg_stab.pred	agg_stab.corr	agg_stab.resid	ace.pred	ace.corr	ace.resid	water_cap.pred	water_cap.corr	water_cap.resid	clay.bt	SOM.bt	activeC.bt	resp.bt	qPCR.bt	agg_stab.bt	ace.bt	water_cap.bt	root_bin	rich_bin	dist_bin	SHMI	SHMI_bin	SHMI2	SHMI2_rating	SHMI2_bin
NRCS18S.148	NRCS148	SHI-0148	No	No	148	PP475	MO	MO1	MO1_Control	Control	MOPMC-CASH-Control-4	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Corn | Corn	4	NA	10/4/2012	NA	NA	5/14/2013	10/17/2013	NA	NA	5/14/2014	10/17/2014	NA	NA	5/14/2015	10/17/2015	NA	NA	10/3/2016	0	32.05479452	32.05479452	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.67184617	silt loam	4.794193221	79.78396181	-0.495529703	0.193036181	93.26418764	0.504187339	31.16985914	-1.066286467	10.35217097	0.114702973	26.75935978	-0.188000231	20.07170186	-0.552926019	19.4140725	-0.711386899	76.72941	8.212230825	100	110.9903915	100	135.1398861	6.53835201	14.74504603	1.207269664	100	57.77607619	58	0.278998897	10081.18399	0.493977805	32.05479452	1	1	Cfa	0.711386899	0	1	0	0	0	0	0	-0.079149713	41.3961039	medium	-0.742653174	2.69761383	-0.323633293	-0.245863624	377.2739876	-0.307062395	0.177656861	0.321333621	-0.365657091	-0.537912727	2830831142	1.031890532	0.361453483	16.8252535	0.142733856	0.02486937	4.399289187	0.089833603	-0.501928428	0.311146168	0.694964609	15.42184497	1.864436653	340.3934416	0.348281143	1.88E+09	22.16125521	4.453646156	0.25722439	-1.199772487	-0.736540295	-1.395507214	4	1	-0.879751396	13.61940299	very low
NRCS18S.149	NRCS149	SHI-0149	No	No	149	PP480	MO	MO1	MO1_Species_2	Species_2	MOPMC-CASH-2Species-1	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.57619848	silt loam	4.812491405	78.58008355	-0.352126348	0.227690354	93.92009549	-0.206091072	15.4938617	-0.911400782	13.87693002	0.218674669	29.19767944	0.220999386	27.18098899	-0.140502149	30.28584935	0.546539812	100	23.12982535	73.92279433	122.1594864	100	126.1346054	2.260935945	9.418386403	1.283253301	100	58.38781993	101	0.606891585	5761.042233	-0.455279371	46.91780822	3	1	Cfa	-0.546539812	0	1	0	0	0	0	0	-0.06433584	44.15584416	medium	-0.637266017	2.759977671	-0.274134766	-0.193560913	438.6258111	0.053058764	0.253479934	0.373441208	-0.032480547	-0.498004622	1333641336	0.042725251	0.338029157	9.564553192	-0.54412023	0.040493961	4.597322346	0.178180708	-0.325776668	0.294892765	0.553467022	16.60742505	2.022721249	404.5035978	0.417795505	9.13E+08	12.72136599	4.692857532	0.260626536	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.150	NRCS150	SHI-0150	No	No	150	PP481	MO	MO1	MO1_Species_2	Species_2	MOPMC-CASH-2Species-2	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.23537305	silt loam	2.371556926	81.85464662	-0.452958961	0.358567711	96.01212901	-0.047192155	17.92926323	-1.162587554	8.586490526	-0.034514212	23.75048518	-0.086101627	21.63203497	-0.503425983	20.49034322	-0.259935849	100	9.764042691	100	115.9363948	100	122.0923689	5.684231426	13.01234869	1.299389502	100	58.84007461	57	0.328867278	3179.672865	-1.038030374	46.91780822	3	1	Cfa	0.259935849	0	1	0	0	0	0	0	-0.233292317	28.24675325	low	-0.711367926	2.540893279	-0.451219628	-0.230337033	382.6750514	-0.273088951	0.20016571	0.333145688	-0.286267337	-0.526065601	874457658.4	-0.511964773	0.354499734	10.80542755	-0.401691889	0.029507689	4.085215569	-0.064021901	-0.449635989	0.324796606	0.8082037	15.77379646	1.77	347.5167923	0.364595738	586000000	14.4748447	4.142639246	0.273886195	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.151	NRCS151	SHI-0151	No	No	151	PP482	MO	MO1	MO1_Species_2	Species_2	MOPMC-CASH-2Species-3	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.68889623	silt loam	4.722253395	80.49295559	-0.57258538	0.466707887	97.31009116	-0.006799684	18.62965738	-1.069650003	10.2853472	0.182246873	28.30839293	-0.086101627	21.63203497	-0.845176355	14.12963112	-0.594506368	85.49661	10.66554223	100	145.5858296	100	128.8477451	6.916921415	12.18103722	1.181115163	100	57.57917648	62	0.209862665	6208.91764	-0.322581862	46.91780822	3	1	Cfa	0.594506368	0	1	0	0	0	0	0	-0.167078822	33.76623377	low	-0.799281407	2.764758708	-0.270368595	-0.273967713	337.7995474	-0.571208642	0.136914451	0.342821564	-0.223016078	-0.559356758	1545837302	0.236774896	0.374040198	10.9976614	-0.380839882	0.016473727	4.568666119	0.165773146	-0.596580977	0.357780142	1.063288864	14.78479101	1.861087169	301.2150128	0.364595738	1.01E+09	14.95072254	4.60677552	0.285349774	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.152	NRCS152	SHI-0152	No	No	152	PP483	MO	MO1	MO1_Species_2	Species_2	MOPMC-CASH-2Species-4	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2258439	silt loam	2.362911201	82.7734954	-0.563053736	0.34164632	95.77495209	-0.159185658	16.16282679	-1.142386158	8.932336472	0.107652744	26.6048058	-0.265984867	18.9630637	-0.734724892	15.92599065	-0.762522131	72.89376	8.476863835	100	104.0160167	100	117.6947384	7.299912386	13.09335619	1.269118673	100	55.52577355	57	0.230530599	3970.405424	-0.850261926	46.91780822	3	1	Cfa	0.762522131	0	1	0	0	0	0	0	-0.229465209	29.22077922	low	-0.7922766	2.664615886	-0.350109558	-0.27049129	353.2623962	-0.464233603	0.141954212	0.315190752	-0.407939079	-0.556704171	1032553454	-0.293557756	0.372483245	9.668146126	-0.531668903	0.017512253	4.399953531	0.090140492	-0.584872633	0.339699101	0.926518952	14.8635934	1.789559902	315.4617142	0.336222529	676000000	13.21981784	4.438128757	0.272134564	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.153	NRCS153	SHI-0153	No	No	153	PP484	MO	MO1	MO1_Species_6	Species_6	MOPMC-CASH-6Species-1	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.55438858	silt loam	5.102113595	79.62171639	-0.513150004	0.077288137	90.7553521	0.336761081	26.21705865	-0.976269609	12.29026019	0.304280245	31.4482606	0.082139001	24.5064548	-0.407399223	22.74640714	-0.556520195	88.34595	7.247216659	100	105.1639352	100	125.0672837	5.510103797	16.487899	1.319876829	100	59.63097435	85	0.546492639	10733.96199	0.658059764	46.91780822	5	1	Cfa	0.556520195	0	1	0	0	0	0	0	0.012446774	53.24675325	medium	-0.755602337	2.828331493	-0.220667272	-0.252290178	402.0389977	-0.155109045	0.168340305	0.364579464	-0.086201303	-0.542816328	3219260639	1.200876091	0.364331684	14.70444021	-0.027570603	0.022949541	4.847012064	0.281330704	-0.523572602	0.300239908	0.600860738	15.27617001	1.955461323	361.7634937	0.392968947	2.13E+09	19.53997742	4.905493344	0.246179549	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.154	NRCS154	SHI-0154	No	No	154	PP485	MO	MO1	MO1_Species_6	Species_6	MOPMC-CASH-6Species-2	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.96613762	silt loam	3.307908528	81.11566999	-0.476832702	0.031493536	89.62814019	-0.450642357	12.58164186	-1.035591428	10.98017424	0.21976403	29.22488044	0.12256469	25.25588268	-0.151047648	29.95056247	-0.455710738	95.90766	8.807814502	100	111.4163196	100	123.8541816	5.772791725	14.84442008	1.405858059	100	59.35289419	95	0.471811137	3472.146374	-1.056095684	46.91780822	5	1	Cfa	0.455710738	0	1	0	0	0	0	0	-0.116167548	37.98701299	low	-0.728912744	2.718876302	-0.306678685	-0.23904437	445.0847684	0.087996722	0.187542711	0.368058622	-0.064978021	-0.532709488	866891043.5	-0.523386196	0.358399408	7.566349484	-0.809041765	0.026906512	4.631589249	0.192857517	-0.478961674	0.290122481	0.510455211	15.57642149	1.895175152	402.7227601	0.400062249	578000000	10.36493729	4.695470982	0.24194185	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.155	NRCS155	SHI-0155	No	No	155	PP486	MO	MO1	MO1_Species_6	Species_6	MOPMC-CASH-6Species-3	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.16361359	silt loam	2.649966345	82.29219813	-0.539558932	-0.019198303	88.29344344	-0.110903172	16.89400676	-1.138929801	8.992772366	0.217584468	29.17049325	-0.000628461	23.04419412	-0.161639883	29.61696839	-0.616421467	83.85276	9.228398575	100	114.9386639	100	123.9550345	7.814305404	13.39718034	1.289186678	100	57.98646383	70	0.623270629	6295.725847	-0.118134749	46.91780822	5	1	Cfa	0.616421467	0	1	0	0	0	0	0	-0.063010203	44.80519481	medium	-0.775010264	2.647503416	-0.363919537	-0.26192216	447.3785219	0.100282277	0.154376851	0.353493769	-0.155005312	-0.550165739	1793441419	0.43203099	0.368645469	10.11179501	-0.479548641	0.020072142	4.642541794	0.197512326	-0.556012422	0.293036617	0.536814119	15.05783552	1.792919781	400.9419224	0.378782342	1.18E+09	13.7494799	4.690244373	0.237335988	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.156	NRCS156	SHI-0156	No	No	156	PP476	MO	MO1	MO1_Species_6	Species_6	MOPMC-CASH-6Species-4	42646	in-season	39.095858	-90.455909	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed | Rye + Clover, Crimson + Vetch, Hairy + Radish + Oats + Rapeseed"	Corn | Corn | Corn | Corn	4	NA	10/4/2012	10/10/2012	4/22/2013	5/14/2013	10/17/2013	10/10/2013	4/22/2013	5/14/2014	10/17/2014	10/10/2014	4/22/2015	5/14/2015	10/17/2015	NA	NA	10/3/2016	14.8630137	32.05479452	46.91780822	Corn	Corn	Conventional Till	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.13235249	silt loam	2.786202332	82.58589477	-0.591561982	0.302563852	95.19001253	0.126239424	21.20084391	-1.134233302	9.075491963	0.117045415	26.81100059	-0.064469162	21.98030035	-0.479055178	21.04152482	-0.807813336	69.49647	8.850587282	100	105.401104	100	117.7444162	8.977190917	15.52653269	1.361368579	100	56.47956442	66	0.143017639	5325.855201	-0.57895647	46.91780822	5	1	Cfa	0.807813336	0	1	0	0	0	0	0	-0.108505989	39.12337662	low	-0.813227316	2.700901957	-0.321005985	-0.280888944	394.861049	-0.198166234	0.126880765	0.347755659	-0.191349927	-0.564637807	1276993197	-0.014318663	0.377139945	12.25965384	-0.250900522	0.014406121	4.427146358	0.102639294	-0.619891184	0.339176063	0.922455035	14.6279029	1.797491409	351.0784676	0.368142389	8.31E+08	16.60950717	4.458820869	0.268131609	-1.199772487	1.184557507	-1.395507214	6	2	-0.485517908	23.69402985	low
NRCS18S.157	NRCS157	SHI-0157	No	No	157	PP487	NM	NM1	NM1_1	1	Alfalfa (PMC)	42647	in-season	34.770534	-106.761209	0	15	cropland.perennial	perennial	None	Alfalfa	1	NA	10/5/2014	NA	NA	NA	NA	NA	NA	10/5/2014	10/4/2016	NA	NA	NA	NA	NA	NA	10/4/2016	0	100	100	Alfalfa	Alfalfa	No Till/ Direct Seed	NA	NA	NA	NA	partial	10	None	0	0	0	NA	Flood/Border	44	NA	None	NA	NA	NA	above ground	7	tons/ac	19.7816645	sandy loam	71.35865777	12.41956518	-0.398772895	-1.441162421	54.78907265	-0.082843406	12.97443488	-1.223206266	35.94697992	-0.880154274	9.868113899	0.513558172	33.79027914	-0.454930369	31.67525274	1.722650152	0	91.45246392	1.566763364	363.3200875	100	212.9174374	0.484867531	19.21401753	0.236947142	56	33.66108966	296	0.02937904	11064.32186	1.099380141	100	1	3	BSk	-1.722650152	1	0	0	0	0	0	0	-0.398177088	15.25974026	very low	-0.470565028	2.19329042	-0.752641238	-0.406765708	420.4370288	-0.048164661	0.308897045	0.414806263	0.204661127	0.204265626	2551030223	0.895114515	0.469040869	9.50041864	-0.551884275	-0.214429336	3.142817674	-0.665724939	-0.280514166	0.153957761	-1.160648256	16.22177705	1.712098914	354.640143	0.474541923	2980000000	14.06518971	2.888139472	0.138423382	1.130220458	-0.736540295	0.420007026	9	4	0.317729955	76.67910448	high
NRCS18S.166	NRCS166	SHI-0166	No	No	166	QPP155	ID	ID1	ID1_1	1	Brad Pivot	42625	NA	43.31	-116.45	0	15	cropland.perennial	None	None | None	Grasses + Legumes | Alfalfa	2	NA	9/13/2014	NA	NA	NA	NA	NA	NA	9/13/2014	9/12/2016	NA	NA	NA	NA	NA	NA	9/12/2016	0	100	100	Alfalfa	Grasses + Legumes	No Till/ Direct Seed	NA	NA	NA	NA	None	75	Organic	30	50	20	NA	Center Pivot	30	NA	None	NA	NA	NA	above ground	7	tons/ac	31.40251498	silty clay loam	11.45664908	55.28757106	1.661596701	0.35148025	95.91395495	0.744150944	32.56687255	0.173708241	24.01659799	-0.256673673	23.57078425	1.655227185	70.76373178	-0.484020133	13.06655758	1.417299766	46.54851344	17.38603914	100	437.4804043	100	598.6337895	1.056355123	21.67182795	0.996022976	100	60.64470125	257	1.720835918	6410.864533	0.361709002	100	2	3	BSk	-1.417299766	1	0	0	0	0	0	0	-0.036609993	47.4025974	medium	0.371449041	2.857957296	-0.1977408	-0.118520909	368.1614856	-0.365499224	1.188653293	0.465006114	0.466573892	-0.038963703	1751155384	0.400672705	0.994663915	12.26358749	-0.250512971	-0.862549342	5.791182258	0.605875669	0.157878194	0.257279586	0.193602056	33.25577986	3.364808126	350.3499147	0.763948657	1.70E+09	26.41380576	3.739467352	0.273151163	1.130220458	0.224008606	0.420007026	10	4	0.5148467	78.35820896	high
NRCS18S.167	NRCS167	SHI-0167	No	No	167	QPP156	ID	ID2	ID2_1	1	Brad's neighbor	42625	NA	43.31	-116.45	0	15	cropland.annual	cover crop	Turnip | Turnip	"Triticale | Beans, Dry"	2	NA	9/13/2014	NA	NA	NA	NA	NA	NA	9/25/2015	5/15/2016	NA	NA	6/1/2016	9/12/2016	NA	NA	9/12/2016	0	46.02739726	46.02739726	Triticale	"Beans, Dry"	Moldboard plow	NA	NA	NA	NA	None	10	Synthetic	120	50	0	2	Furrow/Ditch	30	NA	None	NA	NA	NA	above ground	125	bushels/ac	27.8004316	loam	30.56543614	47.23087632	0.324776738	0.303488372	95.204457	-0.818410559	9.587557603	-0.356573318	35.13946781	-0.492555002	17.18696391	2.05268562	83.74215504	-0.236312126	27.35492602	1.713884112	0	58.4155423	7.622431096	683.0930551	100	410.9420429	0.688557153	11.88503773	0.552248468	100	47.58379585	279	0.375651632	8281.356738	0.601321574	46.02739726	2	1	BSk	-1.713884112	1	0	0	0	0	0	0	-0.063135291	44.48051948	medium	-0.174871007	2.878795567	-0.181702311	-0.305541433	441.6035139	0.069229307	0.617845164	0.698578632	1.434840456	0.118849644	1863612744	0.48247193	0.653626374	4.012130797	-1.472036932	-0.442032671	4.111328841	-0.050522331	-0.126561869	0.281411043	0.430050241	22.20368753	2.656597938	388.6089835	0.895174749	2.04E+09	7.502507714	3.375550782	0.268225618	-1.199772487	0.224008606	-1.395507214	5	2	-0.682634652	15.67164179	very low
NRCS18S.168	NRCS168	SHI-0168	No	No	168	QPP157	ID	ID3	ID3_1	1	Groves North	42625	in-season	43.86	-105.818	0	15	rangeland	perennial	None	Rangeland	1	NA	9/13/2014	NA	NA	NA	NA	NA	NA	9/13/2014	9/12/2016	NA	NA	NA	NA	NA	NA	9/12/2016	0	100	100	Pasture with native grass	Pasture with native grass	None	NA	NA	NA	NA	partial	90	None	NA	NA	NA	NA	NA	NA	NA	rotational	NA	cattle	6	NA	NA	NA	23.59593223	loam	51.72678365	29.57877447	-0.099688559	-0.37535074	76.68616594	0.451847522	29.52245187	-0.707037074	20.04129529	-0.81014974	14.22123012	0.723492883	39.38747162	-0.413877826	22.58698635	1.255128029	72.12410225	3.904965258	100	249.7120268	100	321.8982656	0.808257799	8.9360696	0.126833583	56	53.05697034	128	-0.11971611	5100.520459	-0.472667461	100	3	4	BSk	-1.255128029	1	0	0	0	0	0	0	-0.215372311	30.03246753	low	-0.348337822	2.653964084	-0.358699252	-0.364923941	420.2982184	-0.048953885	0.436602925	0.430039311	0.286889958	0.168958328	792303573.4	-0.64162579	0.545340587	13.94467598	-0.093493065	-0.308510777	3.362671696	-0.501638963	-0.2168769	0.225127818	-0.15847384	18.69444187	2.243867596	360.7842062	0.519229728	901000000	21.31266225	2.967572204	0.207355781	1.130220458	1.184557507	1.327764145	12	5	0.932650626	100	very high
NRCS18S.169	NRCS169	SHI-0169	No	No	169	QPP158	ID	ID3	ID3_2	2	Groves South	42625	in-season	43.85	-105.819	0	15	rangeland	perennial	None	Rangeland	1	NA	9/13/2014	NA	NA	NA	NA	NA	NA	9/13/2014	9/12/2016	NA	NA	NA	NA	NA	NA	9/12/2016	0	100	100	Pasture with native grass	Pasture with native grass	None	NA	NA	NA	NA	partial	20	None	NA	NA	NA	NA	NA	NA	NA	continuous	NA	cattle	0.75	NA	NA	NA	26.23717712	loam	37.79075965	39.53494855	0.381699279	0.126650298	91.88522785	0.97290065	50.14977941	-0.293242988	38.4548294	-0.247987533	20.26738849	1.287289354	57.60624745	-0.236312126	27.35492602	1.07688522	89.98066641	3.225721848	92.32021175	288.4442584	100	549.7107604	1.165773738	8.964173632	0.246883861	56	62.40192768	161	-0.023278023	12521.81252	1.476357723	100	3	4	BSk	-1.07688522	1	0	0	0	0	0	0	0.131304358	66.3961039	high	-0.151608394	2.931262496	-0.141634594	-0.297577995	440.1345795	0.061265868	0.642150493	0.502145957	0.645138861	0.112129864	3645327889	1.364227859	0.668147943	19.06901474	0.304752707	-0.459938506	4.676777864	0.211950973	-0.114450252	0.261955115	0.24110055	22.6742918	2.735798877	388.6089835	0.657549122	3970000000	31.06757959	3.754042332	0.250830541	1.130220458	1.184557507	1.327764145	12	5	0.932650626	100	very high
NRCS18S.170	NRCS170	SHI-0170	No	No	170	PP498	CA	CA1	CA1_1	1	O-Bosc Pear row	42642	NA	38.33477	-121.53946	0	15	cropland.perennial	perennial	None	Pear	1	NA	9/30/2014	NA	NA	NA	NA	NA	NA	9/30/2014	9/29/2016	NA	NA	NA	NA	NA	NA	9/29/2016	0	100	100	Pear	Pear	Shallow Tillage	6	NA	NA	NA	NA	NA	Organic	100	0	100	2	Micro-sprinklers	NA	NA	None	NA	NA	NA	NA	NA	NA	32.27709777	silty clay	1.250949596	49.59647221	3.584414275	0.430769579	96.91915978	0.616117898	28.25385961	1.469755785	95.76935767	-0.534601633	19.45810258	-0.696237849	14.00187429	1.675503341	92.63195074	0.125769902	100	24.83832622	46.5867805	452.0775429	100	1157.08441	1.823912348	7.486079513	0.619956905	100	69.36210852	210	-0.125520714	4198.374462	-0.408615394	100	1	2	Csa	-0.125769902	0	0	1	0	0	0	0	0.826956361	97.07792208	very high	0.764230361	4.181340625	0.705525424	0.35029137	746.8890729	1.325211971	0.549549241	0.212599968	-1.24578709	-0.446276731	1328512517	0.037661337	-0.817498275	42.48499339	1.433616173	-2.152724385	11.85500091	1.618122752	0.078009962	0.273283698	0.352759617	49.15257819	5.552073814	864.783241	0.275929459	946000000	24.06898447	3.31658605	0.281487808	1.130220458	-0.736540295	-0.487750094	8	3	0.097042773	66.79104478	high
NRCS18S.171	NRCS171	SHI-0171	No	No	171	PP499	CA	CA1	CA1_1	1	O-Bosc Pear middle	42642	NA	38.33477	-121.53946	0	15	cropland.perennial	perennial	Grasses	Pear	1	NA	9/30/2014	NA	NA	NA	NA	NA	NA	9/30/2014	9/29/2016	NA	NA	NA	NA	NA	NA	9/29/2016	0	100	100	Pear	Pear	None	NA	NA	NA	NA	NA	NA	Organic	100	0	100	2	Micro-sprinklers	NA	NA	None	NA	NA	NA	NA	NA	NA	32.28973334	silty clay	1.109098923	48.65247276	3.715754666	0.713467042	99.08385118	0.397159088	22.19725603	1.484883614	96.05740453	-1.03536534	14.48450217	-0.561929951	15.35977797	1.536328693	88.57673717	0.930784557	96.60943241	8.677144106	100	238.101134	100	1452.99521	2.174717826	5.505272704	0.395834607	100	73.23689615	166	1.893675682	13128.25533	0.989030267	100	4	4	Csa	-0.930784557	0	0	1	0	0	0	0	0.776288147	96.1038961	very high	0.805936224	4.137921598	0.67894739	0.385633954	694.2960938	1.150694739	0.616084502	0.219662324	-1.178014454	-0.444633063	3843102060	1.43366333	-0.808751988	36.47712089	1.205911076	-2.202585766	8.299452072	1.167220426	0.063518728	0.305880397	0.649948313	50.23842832	5.581648079	815.8643431	0.293662715	2740000000	20.45458242	2.723594533	0.313336684	1.130220458	1.184557507	1.327764145	12	5	0.932650626	100	very high
